Area Code,Area,All registrations,Austria,Belgium,Denmark,Finland,France,Germany,Greece,Italy,Luxembourg,Netherlands,Portugal,Rep of Ireland,Spain,Sweden,French Overseas Depts,Rep of Estonia,Czech Rep,Slovak Rep,Hungary,Rep of Latvia,Rep of Lithuania,Poland,Rep of Slovenia,Malta,Cyprus,Bulgaria,Romania,Switzerland,Norway,Iceland,Ukraine,Russian Federation,Rep of Armenia,Rep of Belarus,Rep of Moldova,Rep of Azerbaijan,Rep of Georgia,Turkey,Albania,Rep of Croatia,Rep of Bosnia-Herzegovina,Former Yug Rep of Macedonia,Serbia and Montenegro,Andorra,Monaco,Liechtenstein,Faroe Islands,Algeria,Angola,Benin,Bissau ..-Guinea-..,Botswana,Burkina Faso,Burundi,Cameroon,Cape Verde Islands,Central African Rep,Chad,Comoro Islands,Congo,Cote D Ivoire,Democratic Rep of Congo,Djibouti,Egypt,Equatorial Guinea,Eritrea,Ethiopia,Gabon,Gambia,Ghana,Guinea,Kenya,Lesotho,Liberia,Libya,Malagasy Rep,Malawi,Mali,Mauritania,Mauritius,Morocco,Mozambique,Namibia,Niger,Nigeria,Principe and Sao Tome,Rwanda,Senegal,Seychelles,Sierra Leone,Somalia,South Africa,St Helena and Deps,Sudan,Swaziland,Tanzania,Togo,Tunisia,Uganda,Zambia,Zimbabwe,Afghanistan,Arab Emirates,Bahrain,Bangladesh,Bhutan,Brunei,Cambodia,China Peoples Rep,_Macau,_Hong Kong,East Timor,India,Indonesia,Iran,Iraq,Israel,Japan,Jordan,North Korea,South Korea,Kuwait,Laos,Lebanon,Malaysia,_Sabah,Mongolia,Union of Myanmar ..-Burma-..,Nepal,Oman,Pakistan,Philippines,Qatar,Rep of Kazakhstan,Rep of Kyrgyzstan,Rep of Tajikistan,Rep of Turkmenistan,Rep of Uzbekistan,Saudi Arabia,Singapore,Sri Lanka,Syria,Taiwan,Thailand,Vietnam,Rep of Yemen,Maldive Islands,British Indian Ocean Islands,USA,Canada,Anguilla,Antigua,Argentina,Bahamas,Barbados,Barbuda,Belize,Bermuda,Bolivia,Brazil,Cayman Islands,Chile,Colombia,Commonwealth of Dominica,Costa Rica,Cuba,Dominican Rep,Ecuador,El Salvador,Falkland Islands and Deps,Grenada,Guatemala,Guyana,Haiti,Honduras,Jamaica,Mexico,Montserrat,Nevis - St Kitts-Nevis,Nicaragua,Panama,Paraguay,Peru,St Lucia,St Vincent and Grenadines,Suriname,Trinidad and Tobago,Turks and Caicos Islands,Uruguay,Venezuala,Virgin Islands ..-British-..,Australia,New Zealand,Fiji,Samoa,American Samoa,Tonga,Cook Islands,Micronesia ..-Sub Region-..,Papua New Guinea,Pitcairn,Solomon Islands,Vanuatu,Others and Unknown
00AL,Greenwich,6530,20,30,20,20,210,160,40,110,0,110,60,60,50,40,0,10,30,90,70,60,300,490,10,0,20,150,240,10,20,0,10,30,0,10,10,0,0,50,30,0,0,10,10,0,0,0,0,20,0,0,0,20,0,0,50,0,0,0,0,10,20,0,0,0,0,0,0,0,20,130,0,20,0,0,0,0,10,0,0,40,0,0,0,0,1010,0,0,0,0,30,40,120,0,0,0,10,0,0,20,50,30,20,0,0,70,0,0,0,170,0,0,0,380,0,20,10,0,20,0,0,10,0,0,0,40,0,0,0,710,0,80,20,0,0,0,0,0,0,0,10,60,0,10,20,30,0,0,0,90,40,0,0,0,0,0,0,0,0,0,30,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,20,10,0,0,0,0,0,0,10,0,0,20,0,0,0,0,180,50,0,0,0,0,0,0,0,0,0,0,0
00AM,Hackney,8530,30,60,30,20,460,320,70,460,0,90,180,140,240,130,0,10,40,80,200,40,110,1690,10,0,40,150,310,40,40,0,10,20,0,0,10,0,10,340,10,10,0,10,10,0,0,0,0,30,0,0,0,0,0,0,10,0,0,0,0,20,10,10,0,0,0,10,10,0,30,180,0,10,0,0,0,0,0,0,0,0,10,0,0,0,350,0,0,10,0,30,30,50,0,0,0,10,0,0,10,0,10,20,0,0,90,0,0,0,110,0,0,0,140,0,10,10,60,100,0,0,30,0,0,10,30,0,0,10,10,0,60,20,0,0,0,0,10,10,0,10,0,0,10,20,30,10,0,0,220,90,0,0,10,0,0,0,0,0,10,210,0,10,100,0,0,10,0,10,0,0,0,0,0,0,0,70,30,0,0,0,0,0,10,10,0,0,10,0,0,10,0,430,130,0,0,0,0,0,0,0,0,0,0,10
00AN,Hammersmith and Fulham,9410,30,30,30,30,650,240,60,540,0,110,120,210,250,140,0,20,40,90,110,20,50,860,10,10,20,80,70,30,40,0,10,40,0,0,0,0,10,50,20,20,0,10,10,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,10,10,0,0,20,0,10,0,0,10,0,0,0,0,0,20,0,0,0,40,0,0,0,0,0,80,190,0,10,0,0,0,0,10,0,10,10,0,0,30,0,0,0,90,0,0,0,100,10,50,30,20,60,10,0,30,0,0,20,40,0,70,0,30,0,50,140,0,10,0,0,0,10,0,10,10,10,0,130,0,0,0,0,280,150,0,0,30,0,0,0,0,0,0,140,0,0,150,0,0,10,0,10,0,0,10,0,0,0,0,10,40,0,0,0,0,0,10,0,0,0,20,0,0,10,0,2240,750,0,0,0,0,0,0,0,0,0,0,0
00AP,Haringey,13650,30,40,30,10,490,270,80,540,0,100,150,110,300,80,0,10,110,210,680,70,230,4080,10,10,60,1050,1030,30,30,10,20,30,0,10,0,0,20,380,90,10,0,10,0,0,0,0,0,40,0,0,0,10,0,0,20,0,0,0,0,40,10,20,0,10,0,20,20,0,10,220,10,10,0,0,0,0,0,0,0,70,10,0,10,0,200,0,10,0,0,10,80,130,0,10,0,20,0,10,40,0,20,30,0,0,100,0,0,0,120,0,10,0,160,0,50,20,20,70,0,0,20,0,0,0,40,0,10,20,20,0,80,40,0,0,10,0,10,20,0,0,30,10,10,20,20,0,0,0,120,70,0,0,10,0,10,0,0,0,0,210,0,0,130,0,0,0,0,10,0,0,0,0,10,0,0,60,10,0,0,0,0,0,10,10,0,0,20,0,0,10,0,390,110,0,0,0,0,0,0,0,0,0,0,10
00AQ,Harrow,6940,0,10,20,0,130,160,0,50,0,110,50,120,20,50,0,0,40,130,90,20,90,890,10,0,0,110,1580,20,10,0,10,20,0,0,0,0,0,30,20,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,110,0,0,0,0,0,0,0,10,0,0,0,0,70,0,0,0,0,0,60,60,0,0,0,30,0,0,0,0,20,140,0,0,20,0,0,0,40,0,0,0,1240,0,30,20,10,10,0,0,0,20,0,10,20,0,0,0,170,0,180,60,0,0,0,0,0,10,0,0,440,0,0,10,0,0,0,0,30,30,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0,50,10,0,0,0,0,0,0,0,0,0,0,10
00AR,Havering,1180,0,0,0,0,20,40,0,20,0,10,10,40,10,10,0,0,10,20,10,10,80,170,0,0,0,30,50,0,0,0,0,10,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,10,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,10,0,0,0,20,0,0,0,40,0,0,0,70,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0,20,50,0,0,0,0,0,0,0,0,10,0,0,10,0,0,0,0,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,20,10,0,0,0,0,0,0,0,0,0,0,0
00AS,Hillingdon,4760,10,20,20,10,80,150,20,50,0,90,130,60,20,40,0,10,30,70,70,40,140,730,0,10,0,60,190,10,30,0,20,10,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,20,10,0,0,20,0,20,0,0,0,0,0,0,0,40,0,0,0,0,100,0,0,0,0,0,100,90,0,0,0,10,0,0,10,0,30,120,0,0,60,0,0,0,70,0,0,0,730,0,10,10,0,10,0,0,10,0,0,0,20,0,0,20,160,10,290,40,0,0,0,0,0,0,0,0,180,10,0,40,0,0,0,0,50,20,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,70,20,0,0,0,0,0,0,0,0,0,0,0
00AT,Hounslow,10730,30,40,20,20,330,140,10,130,0,100,170,80,80,50,0,20,60,240,80,70,260,2750,10,0,10,160,330,10,20,0,30,30,0,0,10,0,10,40,10,10,0,0,10,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,10,10,0,0,50,0,40,0,0,0,0,0,0,0,30,10,0,0,0,80,0,0,0,0,10,60,120,0,0,0,20,0,10,30,10,30,140,0,0,30,0,0,0,50,0,0,0,2470,10,40,20,0,20,10,0,20,0,0,10,20,0,10,80,290,0,510,70,0,10,0,0,0,10,0,10,140,10,0,60,10,0,0,0,80,40,0,0,0,0,0,0,0,0,0,60,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10,0,0,0,10,0,0,10,0,300,140,0,0,0,0,0,0,0,0,0,0,10
00AU,Islington,7470,30,30,30,30,510,310,120,470,0,100,120,220,280,130,0,10,60,70,140,20,40,600,0,20,40,90,100,40,50,10,10,40,0,10,0,10,20,160,20,10,0,10,10,0,0,0,0,20,0,0,0,0,0,0,10,0,0,0,0,10,0,10,0,10,0,30,20,0,0,40,0,0,0,0,0,0,0,0,0,10,10,0,0,0,90,0,0,10,0,0,60,80,0,10,0,10,0,0,10,10,0,10,0,0,80,0,0,0,140,0,0,0,180,10,20,10,20,100,10,0,40,0,0,10,50,0,10,0,10,0,60,30,0,0,0,0,0,0,0,20,10,10,20,50,10,0,0,0,380,160,0,0,10,0,0,0,0,0,0,110,0,10,190,0,0,0,0,20,0,0,0,0,0,0,0,20,20,0,0,0,0,0,10,0,0,0,10,0,0,10,0,870,210,0,0,0,0,0,0,0,0,0,0,10
00AW,Kensington and Chelsea,7180,50,60,50,30,820,300,100,550,0,160,110,100,330,230,0,20,30,50,40,20,40,210,10,10,20,60,70,70,60,0,20,60,0,0,0,0,0,70,10,10,0,10,10,0,0,0,0,20,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,20,0,10,10,0,0,10,0,0,0,0,10,0,0,0,0,0,50,0,0,0,20,0,0,0,0,0,10,100,0,10,0,0,0,10,0,0,0,0,0,0,20,0,0,0,80,0,0,0,140,10,50,20,20,50,10,0,20,0,0,40,40,0,20,0,20,0,40,160,0,20,0,0,0,0,0,30,10,10,20,50,10,0,0,0,710,170,0,0,20,0,0,0,0,0,10,110,0,10,70,0,0,0,0,0,0,0,0,0,0,0,0,10,30,0,0,0,0,0,10,0,0,0,10,0,0,10,0,770,160,0,0,0,0,0,0,0,0,0,0,10
00AX,Kingston-upon-Thames,2870,10,0,10,10,110,100,30,70,0,20,70,20,40,30,0,0,30,60,60,10,70,450,0,0,10,70,40,10,10,0,10,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,20,0,0,0,0,20,0,0,0,0,0,0,130,0,0,0,0,0,0,10,0,10,20,0,0,20,0,0,0,50,0,0,0,210,0,30,30,0,20,10,30,190,0,0,0,20,0,0,0,10,0,60,40,0,0,0,0,0,0,0,0,150,10,0,30,0,0,0,0,60,20,0,0,0,0,0,0,0,0,0,30,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,30,0,0,0,0,0,0,0,0,0,0,0
00AY,Lambeth,11130,30,50,30,30,760,280,50,610,0,150,560,260,310,90,0,10,60,120,110,30,110,2060,0,10,10,170,210,30,30,0,20,40,0,10,0,0,0,60,30,10,0,10,0,0,0,0,0,40,10,0,0,0,0,0,10,0,0,0,0,30,60,10,0,10,0,50,30,0,0,220,10,10,0,0,0,0,0,0,0,10,20,0,0,0,320,10,0,0,0,40,50,170,0,10,0,10,0,0,20,10,20,20,0,0,50,0,0,0,90,0,0,0,160,10,10,0,10,50,0,0,30,0,0,10,40,0,10,10,10,0,140,60,0,0,0,0,0,0,0,20,10,0,10,20,10,0,0,0,210,100,0,0,20,0,0,0,0,0,30,270,0,10,190,0,0,10,0,40,0,0,10,0,10,0,0,150,10,0,0,0,0,0,20,0,0,0,20,0,0,10,0,1220,430,0,0,0,0,0,0,0,0,0,0,10
00AZ,Lewisham,6990,20,30,20,20,500,220,30,220,0,130,100,70,110,70,0,10,60,70,60,50,190,990,10,0,30,140,220,20,20,0,30,40,0,0,0,0,20,100,40,10,10,10,0,0,0,0,0,40,0,0,0,10,0,0,30,0,0,0,0,20,50,0,0,10,0,10,10,0,20,120,10,20,0,0,0,0,10,0,0,30,10,0,0,0,580,0,0,10,0,30,30,180,0,10,0,20,0,0,30,10,20,40,0,0,40,0,0,10,180,0,0,0,320,10,30,0,0,30,0,0,20,0,0,10,30,0,10,10,40,0,90,20,0,0,0,0,0,10,0,10,160,0,10,20,40,0,0,0,100,50,0,0,10,0,0,0,0,0,10,90,0,0,60,0,0,0,10,10,0,0,0,0,10,0,0,150,20,0,0,0,0,0,10,20,0,0,30,0,0,10,0,200,50,0,0,0,0,0,0,0,0,0,0,0
00BA,Merton,6900,10,30,10,10,170,200,20,170,0,90,80,90,60,30,0,10,30,150,80,20,100,1690,0,0,10,210,210,20,30,0,10,20,0,10,0,0,0,50,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,10,140,0,0,0,0,0,0,0,0,0,40,10,0,0,0,70,0,0,0,0,0,10,800,0,0,0,0,0,0,20,0,20,20,0,0,50,0,0,0,40,0,0,0,230,0,20,10,0,30,0,0,90,0,0,0,10,0,0,0,30,0,270,40,0,0,0,0,0,0,0,0,230,0,0,20,0,0,0,0,70,60,0,0,10,0,0,0,0,0,0,90,0,0,30,0,0,0,0,10,0,0,0,0,10,0,0,10,10,0,0,0,0,0,10,0,0,0,10,0,0,10,0,430,170,0,0,0,0,0,0,0,0,0,0,0
00BB,Newham,20510,50,50,20,10,400,200,40,270,0,130,250,80,140,80,0,40,90,220,270,220,1800,2810,10,10,10,890,2300,20,20,0,50,60,0,30,20,0,0,50,40,10,0,0,10,0,0,0,0,30,10,0,0,20,0,0,30,0,0,0,0,20,10,10,0,10,0,10,10,0,60,310,10,40,0,0,0,0,20,0,0,70,20,0,0,0,550,0,0,20,0,20,80,230,0,10,0,40,0,0,40,20,40,70,0,0,1370,0,0,0,120,0,0,0,3080,10,20,0,0,10,0,0,10,0,0,10,60,0,0,30,110,0,1710,220,0,0,10,0,10,40,0,10,290,0,10,30,20,0,0,0,60,50,0,0,0,0,0,0,0,0,10,170,0,0,50,0,0,0,10,20,0,0,0,0,0,0,0,30,10,0,0,0,0,0,10,30,0,0,10,0,0,0,0,180,50,0,0,0,0,0,0,0,0,0,0,10
00BC,Redbridge,6440,20,10,20,0,130,110,10,60,0,50,60,70,20,20,0,10,30,50,40,60,460,610,0,0,0,120,560,20,10,0,20,30,0,10,10,0,0,20,30,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,10,50,0,20,0,0,0,0,10,0,0,60,0,0,0,0,110,0,0,10,0,10,40,130,0,0,0,20,0,0,10,10,20,40,0,0,230,0,0,0,20,0,0,0,1300,0,10,10,0,0,0,0,0,0,0,0,10,0,0,0,10,0,950,40,0,0,0,0,0,0,0,10,270,0,0,10,0,0,0,0,30,50,0,0,0,0,0,0,0,0,0,20,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,20,10,0,0,0,0,0,0,10,0,0,10,0,0,0,0,70,20,0,0,0,0,0,0,0,0,0,0,0
